CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
GUNUNGSITOLI,1278,93.26,1.21,0.62,6.28,0.3,1.53,6.88
KEPULAUAN MENTAWAI,1301,95.96,1.93,0,0,0.92,2.39,1.38
PESISIR SELATAN,1302,64.52,28.43,3.91,7.26,0.59,29.18,11.08
SOLOK,1303,74.39,13.04,5.67,9.02,1.35,14.36,14.76
SIJUNJUNG,1304,89.87,6.2,3.05,2.86,0.83,6.77,6.11
TANAH DATAR,1305,56.73,23.96,10.62,9.88,2.71,26.91,20.38
PADANG PARIAMAN,1306,55.21,26.04,5.43,14.83,2.91,28.71,20.19
AGAM,1307,51.16,29.85,6.18,13.81,4.24,33.97,19.66
LIMA PULUH KOTA,1308,58.64,26.09,7.1,10.7,1.68,27.84,17.99
PASAMAN,1309,71.65,19.95,6.15,5.17,1.2,21.02,11.14
SOLOK SELATAN,1310,85.9,7.47,4.18,2.98,0.94,8.41,7.54
DHARMASRAYA,1311,73.23,19.56,5.63,6.76,0.94,21.07,12.63
PASAMAN BARAT,1312,60.71,25.17,6.83,8.56,4.15,29.36,15.55
KOTA PADANG,1371,58.22,27.47,4.4,12.62,2.25,29.52,16.85
KOTA SOLOK,1372,51.88,41.59,3.45,7.11,1.33,43.28,10.64
KOTA SAWAH LUNTO,1373,75.84,12.65,3.26,8.16,5.74,19.13,10.86
KOTA PADANG PANJANG,1374,54.66,26.2,5.28,15.85,4.53,30.84,20.7
KOTA BUKIT TINGGI,1375,51.08,26.8,5.44,17.86,3.69,31.94,22.89
PAYAKUMBUH,1376,58.3,24.92,7.48,13.02,1.72,26.33,20.34
KOTA PARIAMAN,1377,53.72,31.59,4.47,11.44,4.75,36.09,15.84
KUANTAN SINGINGI,1401,77.28,15.13,5.28,4.06,1.52,16.43,9.38
INDRAGIRI HULU,1402,72.29,17.31,3.15,9.55,1.03,17.97,12.83
INDRAGIRI HILIR,1403,80.71,14.36,2.71,4.42,0.84,15.23,6.98
PELALAWAN,1404,80.15,14.7,5.23,2.44,1.14,15.66,7.6
S I A K,1405,72.54,11.55,7.68,4.15,8.14,19.69,11.66
KAMPAR,1406,66.79,20.29,7.84,5.84,3.41,23.86,13.83
ROKAN HULU,1407,77.49,17.34,3.94,3.98,0.76,17.72,7.78
BENGKALIS,1408,70.11,20.72,4.01,5.57,0.91,21.64,9.65
ROKAN HILIR,1409,72.91,14.31,3.63,12.31,1.31,15.22,15.92
KEPULAUAN MERANTI,1410,80.72,9.46,1.78,6.04,0.59,10.03,7.69
KOTA PEKANBARU,1471,59.63,18.53,7.78,14.76,4.35,22.82,22.44
KOTA DUMAI,1473,64.95,23.7,4.13,8.15,3.67,27.52,12.08
KERINCI,1501,79.88,6.64,10.57,4.45,1.32,7.75,15.28
MERANGIN,1502,69.74,9.98,16.79,5.85,2.15,11.82,22.33
SAROLANGUN,1503,76.74,6,10.91,7.37,2.76,8.68,18.16
BATANG HARI,1504,57.09,22.38,16.89,7.8,2.44,24.45,24.45
MUARO JAMBI,1505,48.91,19.88,14.55,18.23,3.51,23.22,32.61
TANJUNG JABUNG TIMUR,1506,62.27,8.2,27.11,5.71,1.61,9.93,32.47
TANJUNG JABUNG BARAT,1507,65.47,15.37,11.9,6.09,4.92,20.4,18.01
TEBO,1508,58.67,22.95,12.62,8.61,1.09,23.81,20.74
BUNGO,1509,57.37,27.82,13.32,5.42,1.17,28.91,18.89
